cohort_top5,sentiment_label,trades,mean_pnl,median_pnl,win_rate,mean_position_size
Other 27,Extreme Fear,5236,73.19057901050421,4.804926,0.7181054239877769,7523.702117307316
Other 27,Extreme Greed,15194,77.09209682881401,9.3307365,0.9006186652626037,2845.742024353965
Other 27,Fear,12472,88.72669524069916,6.157298,0.8682649134060295,6497.6384860289445
Other 27,Greed,16826,55.443950783905855,5.3783775,0.7757636990372043,3197.4980911126067
Other 27,Neutral,8633,34.76719185416425,3.78625,0.8306498320398471,4044.4749333707173
Top 5,Extreme Fear,5170,68.83643651663444,7.36102,0.8067698259187621,3385.190003690522
Top 5,Extreme Greed,5659,272.8103890185545,6.092018,0.8676444601519703,2601.879350770631
Top 5,Fear,17336,129.81980264190125,6.6024,0.8762113520996769,9151.578674755443
Top 5,Greed,8350,145.77597090550898,3.907649,0.7550898203592814,9954.838072266894
Top 5,Neutral,9526,104.21745835324376,5.855616,0.8177619147596052,6926.677449923997
